attack_success_rate,legitimate_abandonment_rate,stepup_rate_passkey,stepup_rate_otp,stepup_rate_none,policy,seed
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,42
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,42
0.37805365597054186,0.018338033666747994,0.17033333333333334,0.2663333333333333,0.5633333333333334,risk_adaptive,42
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,43
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,43
0.3760073645449763,0.018338033666747994,0.17016666666666666,0.26766666666666666,0.5621666666666667,risk_adaptive,43
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,44
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,44
0.3804681746449237,0.01833803366674799,0.16883333333333334,0.2673333333333333,0.5638333333333333,risk_adaptive,44
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,45
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,45
0.3823724355602314,0.01833803366674799,0.1685,0.2668333333333333,0.5646666666666667,risk_adaptive,45
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,46
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,46
0.3755812730142031,0.018338033666747994,0.16866666666666666,0.27016666666666667,0.5611666666666667,risk_adaptive,46
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,47
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,47
0.381273014203051,0.018338033666747994,0.16833333333333333,0.26766666666666666,0.564,risk_adaptive,47
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,48
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,48
0.38094687006838507,0.01833803366674799,0.16866666666666666,0.2673333333333333,0.564,risk_adaptive,48
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,49
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,49
0.38219884271436083,0.018338033666747994,0.169,0.26616666666666666,0.5648333333333333,risk_adaptive,49
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,50
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,50
0.3809679116254603,0.01833803366674799,0.168,0.2683333333333333,0.5636666666666666,risk_adaptive,50
0.35,0.04488000000000002,0.0,1.0,0.0,always_otp,51
0.039999999999999994,0.00232,1.0,0.0,0.0,always_passkey,51
0.3783798001052078,0.018338033666747994,0.17,0.26666666666666666,0.5633333333333334,risk_adaptive,51
