seed,scenario,mean_latency_correct_ms,mean_latency_incorrect_ms,welch_t_stat,welch_p_value,mannwhitney_u_stat,mannwhitney_p_value
42,H0_constant_time,1.966919028276398,2.0096726569280903,-2.2547864051931974,0.024200627563694895,1928937.0,0.05166873635676285
42,H1_naive_comparison,2.0083354310402908,1.8414991457707905,8.749361020057295,3.110311903759268e-18,2323261.0,8.615984761580682e-19
43,H0_constant_time,1.9961481321088432,1.9985864318964977,-0.12896335463453448,0.8973931323699198,1996889.0,0.9321231362227088
43,H1_naive_comparison,1.977999013787309,1.8467982674159233,6.864797682621579,7.686899689392675e-12,2248670.0,9.811320954578152e-12
44,H0_constant_time,2.0116853981251483,1.9956621540822117,0.8430379281211476,0.3992577315126655,2027304.0,0.45467510274215805
44,H1_naive_comparison,2.0053296160590808,1.8600522847335559,7.594967634001627,3.8103298188803965e-14,2273044.0,7.622969874009211e-14
45,H0_constant_time,1.98718759030115,2.0263896368035086,-2.0576669394265035,0.03968681948288788,1921769.0,0.03218039001560042
45,H1_naive_comparison,2.014122796821345,1.8307683150857925,9.651333891790452,8.374216028293235e-22,2332726.0,8.168306587062129e-20
46,H0_constant_time,2.007673838889789,2.005056413273778,0.14079791678799358,0.8880366834036089,2002064.0,0.9549401399697566
46,H1_naive_comparison,2.0123754546905346,1.8528087968811164,8.399068505020475,6.175228185529834e-17,2285352.0,5.553493884579855e-15
47,H0_constant_time,1.996771943840441,1.9889097056548593,0.4145635868810934,0.6784836987843382,2016516.0,0.651096765832245
47,H1_naive_comparison,1.9996557575758571,1.8431177240671317,8.101039276642487,7.170753732759206e-16,2278505.0,2.417622046134895e-14
48,H0_constant_time,2.003056647541396,2.0012599166983347,0.09401526959037561,0.9251017424828243,2000150.0,0.9967336975790141
48,H1_naive_comparison,1.98570688970732,1.854076652238435,6.908450643316787,5.676757017077978e-12,2250011.0,7.59626711303576e-12
49,H0_constant_time,2.0198690688134437,2.0061334567497515,0.714839156033513,0.4747501744729541,2005528.0,0.8796933951377841
49,H1_naive_comparison,1.9830131530114468,1.8290393267029004,8.200031907259303,3.2057647677928955e-16,2299314.0,2.4849075653289364e-16
50,H0_constant_time,2.007603331414806,1.976601292027147,1.6538054794407373,0.09824560146333715,2058921.0,0.10665705025487114
50,H1_naive_comparison,2.025228405352467,1.8330891520055612,10.105102587992077,1.008228928173231e-23,2359294.0,7.690301589880264e-23
51,H0_constant_time,1.9912591099176207,2.0076085734796636,-0.8660151334395153,0.3865339433744912,1960848.0,0.2836868027597663
51,H1_naive_comparison,2.0078945918989306,1.8756305693846702,6.969930300385025,3.693343030751799e-12,2252795.0,4.4469134709791365e-12
